id,raceId,driverId,constructorId,year,round,circuitId,lat,lng,alt,track_length_km,number_of_turns,grid,driver_age,driver_nationality_code,constructor_nationality_code,q1_ms,q2_ms,q3_ms,best_qual_ms,pit_stop_count,avg_pit_ms,rolling_avg_position,career_wins_so_far,prev_championship_points,prev_championship_position,prev_constructor_points,finishing_position
833_579,833,579,51,1950,1,9,52.13126,-1.01516,153,4.81,12,3,38.88569473,2,23,,,,,,,,0,0,0,0,12
833_642,833,642,51,1950,1,9,52.13126,-1.01516,153,4.81,12,1,43.53456537,25,23,,,,,,,,0,0,0,0,1
833_686,833,686,51,1950,1,9,52.13126,-1.01516,153,4.81,12,4,38.86379192,9,23,,,,,,,,0,0,0,0,3
833_786,833,786,51,1950,1,9,52.13126,-1.01516,153,4.81,12,2,51.92334018,25,23,,,,,,,,0,0,0,0,2
833_589,833,589,105,1950,1,9,52.13126,-1.01516,153,4.81,12,11,50.77344285,30,14,,,,,,,,0,0,0,0,18
833_640,833,640,105,1950,1,9,52.13126,-1.01516,153,4.81,12,8,35.98631075,39,14,,,,,,,,0,0,0,0,17
833_669,833,669,105,1950,1,9,52.13126,-1.01516,153,4.81,12,5,35.8275154,40,14,,,,,,,,0,0,0,0,14
833_747,833,747,105,1950,1,9,52.13126,-1.01516,153,4.81,12,18,40.37234771,9,14,,,,,,,,0,0,0,0,15
833_778,833,778,105,1950,1,9,52.13126,-1.01516,153,4.81,12,20,35.2881588,9,14,,,,,,,,0,0,0,0,10
833_784,833,784,105,1950,1,9,52.13126,-1.01516,153,4.81,12,16,32.36960986,9,14,,,,,,,,0,0,0,0,9
833_788,833,788,105,1950,1,9,52.13126,-1.01516,153,4.81,12,20,34.54620123,9,14,,,,,,,,0,0,0,0,10
833_776,833,776,126,1950,1,9,52.13126,-1.01516,153,4.81,12,19,37.16632444,24,5,,,,,,,,0,0,0,0,13
833_785,833,785,126,1950,1,9,52.13126,-1.01516,153,4.81,12,17,29.00479124,9,5,,,,,,,,0,0,0,0,16
833_619,833,619,151,1950,1,9,52.13126,-1.01516,153,4.81,12,13,36.31211499,9,5,,,,,,,,0,0,0,0,6
833_661,833,661,151,1950,1,9,52.13126,-1.01516,153,4.81,12,10,37.59616701,9,5,,,,,,,,0,0,0,0,20
833_666,833,666,151,1950,1,9,52.13126,-1.01516,153,4.81,12,10,31.57289528,9,5,,,,,,,,0,0,0,0,20
833_787,833,787,151,1950,1,9,52.13126,-1.01516,153,4.81,12,15,43.85215606,9,5,,,,,,,,0,0,0,0,7
833_790,833,790,151,1950,1,9,52.13126,-1.01516,153,4.81,12,12,38.14099932,9,5,,,,,,,,0,0,0,0,21
833_627,833,627,154,1950,1,9,52.13126,-1.01516,153,4.81,12,9,44.5174538,19,9,,,,,,,,0,0,0,0,5
833_660,833,660,154,1950,1,9,52.13126,-1.01516,153,4.81,12,21,33.7522245,7,9,,,,,,,,0,0,0,0,11
833_704,833,704,154,1950,1,9,52.13126,-1.01516,153,4.81,12,6,45.59342916,19,9,,,,,,,,0,0,0,0,4
833_741,833,741,154,1950,1,9,52.13126,-1.01516,153,4.81,12,14,53.36892539,19,9,,,,,,,,0,0,0,0,8
833_789,833,789,154,1950,1,9,52.13126,-1.01516,153,4.81,12,7,35.137577,19,9,,,,,,,,0,0,0,0,19
834_633,834,633,6,1950,2,6,43.58425,7.40801,7,6.83,17,6,41.01300479,25,14,,,,,,,,0,0,0,0,8
834_647,834,647,6,1950,2,6,43.58425,7.40801,7,6.83,17,7,31.85489391,25,14,,,,,,,,0,0,0,0,2
